query,intent
행복점수의 뜻,0
행복점수의 정의,0
행복점수의 의미,0
행복점수 뜻,0
행복점수 정의,0
행복점수 의미,0
행복점수가 뭔지 설명해줘,0
행복점수란 뭔가요?,0
행복점수란 어떤거야?,0
행복점수란 뭘 뜻하는 거야?,0
행복점수란 뭘 말하는 거야?,0
행복점수가 뭘까?,0
행복점수?,0
왜 아침에 빛을 보라는거야?,1
아침에 빛을 보는게 왜 좋은거야?,1
왜 아침에 빛을 봐야 하나요?,1
아침에 빛을 보는 것이 왜 중요한가요?,1
아침에 빛을 보라고 하는 이유는 무엇일까요?,1
아침에 꼭 빛을 봐야 하는 건가요?,1
아침에 일출을 보는 이유가 무엇인가요?,1
우리가 아침에 빛을 마주하는 이유는 무엇인가요?,1
아침 햇살을 맞이해야 하는 구체적인 이유가 있나요?,1
아침에 햇빛을 받으라는 조언의 배경은 무엇인가요?,1
아침에 햇빛을 보아야 하는 명확한 까닭은 무엇일까요?,1
왜 아침 햇살을 맞이하는 것이 좋다고 하는 걸까요?,1
아침에 햇빛을 직접 보는 이유는 무엇일까요?,1
아침에 빛을 쬐라고 하는 권장 사항의 이유는 무엇일까요?,1
아침 햇빛을 받는 것의 중요성은 무엇인가요?,1
아침에 일찍 빛을 보는 것의 효과는 무엇인가요?,1
왜 아침 시간에 햇빛을 보는 것을 권장하나요?,1
아침에 햇빛을 보는 행위의 중요성은 무엇인가요?,1
아침에 빛을 보는 것에 대한 권장 이유는 무엇인가요?,1
아침 햇빛을 맞이하는 것이 왜 중요하다고 생각하나요?,1
아침에 햇빛을 맞이하는 이유는 구체적으로 무엇인가요?,1
왜 많은 사람들이 아침에 햇빛을 보길 권장하나요?,1
왜 아침에 빛을 봐야 돼?,1
아침에 빛 보는 게 왜 중요해?,1
아침에 빛을 보라는 건 왜야?,1
아침에 꼭 빛을 봐야 되는 거야?,1
아침에 일출 보는 이유가 뭐야?,1
우리 왜 아침에 빛을 마주해야 해?,1
아침 햇살 맞이해야 하는 구체적인 이유 있어?,1
아침에 햇빛 받으라는 말의 이유가 뭐야?,1
아침에 햇빛 보아야 하는 진짜 이유가 뭐야?,1
아침 햇살을 왜 맞이하는 게 좋대?,1
아침에 햇빛 직접 보는 이유가 뭐야?,1
아침에 빛 쬐라는 권장 사항 이유가 뭐야?,1
아침 햇빛 받는 거 왜 중요해?,1
아침에 일찍 빛 보는 효과가 뭐야?,1
아침 시간에 햇빛 보는 걸 왜 권장해?,1
아침에 햇빛 보는 게 왜 중요해?,1
아침에 빛 보는 권장 이유가 뭐야?,1
아침 햇빛 맞이하는 게 왜 중요하다고 생각해?,1
아침에 햇빛 맞이하는 구체적 이유가 뭐야?,1
왜 많은 사람들이 아침 햇빛 보길 권장해?,1
왜 밤에 빛을 보는 것이 좋지 않은가요?,1
밤에 빛을 보는 것이 왜 해로운가요?,1
밤에 빛을 바라보는 행위가 부정적인 이유는 무엇인가요?,1
왜 밤 시간에 빛을 보는 것을 피해야 하나요?,1
밤에 빛을 보는 것에 대한 부정적인 측면은 무엇인가요?,1
밤에 빛을 직접 보는 것이 왜 권장되지 않나요?,1
밤에 빛을 보는 것이 건강에 안 좋은 이유는 무엇인가요?,1
밤에 빛을 보면 왜 문제가 되나요?,1
밤에 빛을 보는 행위를 왜 피해야 하는지 설명해 주실 수 있나요?,1
밤에 빛을 보는 것의 해로움에 대해 설명해 주실 수 있나요?,1
왜 밤에는 빛을 보지 않는 것이 좋은가요?,1
밤에 빛을 보는 것이 왜 비추천되는 행동인가요?,1
밤에 빛을 보는 것이 왜 부적절한가요?,1
밤에 빛에 노출되는 것의 부정적인 영향은 무엇인가요?,1
밤에 빛을 보는 것으로 인해 발생할 수 있는 문제점은 무엇인가요?,1
밤에 빛을 보면 어떤 부정적인 결과가 있나요?,1
밤에 빛을 보는 것이 건강에 미치는 부정적인 영향은 무엇인가요?,1
밤에 빛을 보는 것이 왜 좋지 않은 행위로 여겨지나요?,1
밤에 빛을 보는 것에 대한 경고의 이유는 무엇인가요?,1
밤에 빛을 보는 것을 왜 자제해야 하나요?,1
왜 밤에 빛 보는 게 안 좋은 거야?,1
밤에 빛 보는 거 왜 해로워?,1
밤에 빛 바라보는 거 왜 안 되는 거야?,1
밤에 빛 보는 걸 왜 피해야 돼?,1
밤에 빛 보는 거 왜 문제야?,1
밤에 빛 보는 게 왜 건강에 안 좋아?,1
밤에 빛을 보면 왜 안 되는 건데?,1
밤에 빛 보는 거 문제 있는 거 설명해 줄래?,1
밤에 빛 보는 거 왜 피하는 게 좋아?,1
밤에 빛 보는 게 왜 나쁜 거야?,1
밤에 빛 보지 말라는 거 이유가 뭐야?,1
밤에 빛 보는 거 건강에 왜 안 좋은 거야?,1
밤에 빛 보는 게 왜 비추야?,1
밤에 빛에 노출되는 게 왜 문제가 되는 거야?,1
밤에 빛 보면 무슨 문제 생길 수 있어?,1
밤에 빛 보는 걸로 뭐가 문제야?,1
밤에 빛 보면 왜 건강에 나빠?,1
밤에 빛 보는 게 왜 안 좋은 짓이야?,1
밤에 빛 보는 거 왜 조심해야 돼?,1
밤에 빛 보는 거 자제하라는 거 왜 그런 거야?,1
행복 점수는 어떤 방식으로 계산된 것인가요?,1
행복 점수 계산 방법이 궁금합니다. 어떻게 되나요?,1
행복 점수를 산출하는 과정을 설명해 주실 수 있나요?,1
어떤 기준으로 행복 점수를 계산하게 되었나요?,1
행복 점수는 어떤 공식을 통해 나오게 되는 것인가요?,1
행복 점수 산출 방법에 대해 자세히 알려주실 수 있나요?,1
행복 점수를 결정짓는 계산 방식은 무엇인가요?,1
행복 점수는 어떠한 절차를 거쳐 계산되나요?,1
행복 점수 산출에 사용된 방법론은 무엇인가요?,1
행복 점수를 계산하는 데 어떤 요소가 고려되었나요?,1
행복 점수 산정 기준은 무엇인가요?,1
행복 점수 계산에 있어 중요한 요소는 무엇이었나요?,1
행복 점수를 내는 과정에서 어떤 변수가 사용되었나요?,1
행복 점수 도출 방식을 설명해 주실 수 있나요?,1
행복 점수 계산 과정에서 고려된 것들은 무엇인가요?,1
행복 점수는 어떻게 산출되어 나오는 것인가요?,1
행복 점수를 산정할 때 어떤 방법을 사용하나요?,1
행복 점수 산출 기준이 궁금합니다. 어떻게 되나요?,1
행복 점수 산출 시 어떤 공식이나 기준을 적용하나요?,1
행복 점수는 어떤 절차와 방식을 통해 계산되는 건가요?,1
행복 점수 어떻게 계산한 거야?,1
행복 점수 계산 방법이 어떻게 돼?,1
행복 점수는 어떻게 산출한 건데?,1
행복 점수 계산할 때 뭘 기준으로 해?,1
행복 점수 나오는 거 어떤 식으로 계산하는 거야?,1
행복 점수 계산하는 법 알려줄 수 있어?,1
행복 점수 어떻게 나온 거야? 계산 방법이 궁금해.,1
행복 점수 산출 방식이 뭐야?,1
행복 점수 계산할 때 어떤 공식 쓰는 거야?,1
행복 점수 계산하는 데 어떤 요소를 봐?,1
행복 점수 어떤 기준으로 산정해?,1
행복 점수 계산할 때 중요한 게 뭐야?,1
행복 점수 내는 데 어떤 변수들 고려해?,1
행복 점수 어떻게 도출된 거야?,1
행복 점수 계산 과정에서 뭐 보는 거야?,1
행복 점수 계산은 어떻게 이루어지는 거야?,1
행복 점수 산정할 때 뭘로 계산해?,1
행복 점수 어떤 방식으로 나온 거야?,1
행복 점수 계산 시 뭘 기준으로 삼아?,1
행복 점수 계산 과정이 궁금해. 어떻게 되는 거야?,1
집에만 머무는 것이 왜 좋지 않은가요?,1
왜 집에만 있는 것을 권장하지 않나요?,1
집에만 머무르는 것이 부정적인 이유는 무엇인가요?,1
집에만 있게 되면 어떤 문제가 발생하나요?,1
왜 집에만 있는 생활방식을 피해야 하나요?,1
집에만 계속 머무는 것에 대한 부정적인 영향은 무엇인가요?,1
집에만 있는 것이 건강에 미치는 영향은 어떤 것이 있나요?,1
왜 사람들은 집에만 있지 않기를 권장하나요?,1
집에만 있는 것의 단점은 구체적으로 무엇인가요?,1
집에만 지내는 생활이 왜 비추천되는지 설명해 주실 수 있나요?,1
왜 지속적으로 집에만 머무르는 것을 좋지 않게 보나요?,1
집에만 있는 것이 개인에게 끼치는 부정적인 영향은 무엇인가요?,1
왜 집에만 머무는 생활을 지양해야 하는가요?,1
집에만 있을 때 발생할 수 있는 부작용은 무엇인가요?,1
집에만 머무르는 것이 왜 권장되지 않는 행동인가요?,1
집에만 있는 것의 부정적인 측면을 설명해 주실 수 있나요?,1
집에만 머물면서 생길 수 있는 문제점들은 무엇인가요?,1
왜 집에만 머무르는 것이 비효율적인 것으로 여겨지나요?,1
집에만 계속 있게 되면 어떤 부정적인 결과가 있나요?,1
집에만 머무르는 생활방식이 왜 건강에 해로운가요?,1
집에만 있는 게 왜 안 좋은 거야?,1
왜 집에만 있으면 안 되는 거야?,1
집에만 있게 되면 뭐가 문제야?,1
집에만 있으면 뭐가 안 좋아?,1
왜 집에만 있지 말라는 거야?,1
집에만 있는 거 왜 해로워?,1
집에만 있을 때 나쁜 점이 뭐야?,1
집에만 있으면 건강에 왜 안 좋아?,1
왜 집에만 있기를 안 좋아해?,1
집에만 있으면 무슨 문제가 생기는 거야?,1
집에만 있게 되면 뭐가 달라져?,1
집에만 있는 거 왜 피해야 돼?,1
집에만 있으면 뭐가 문제가 되는 거야?,1
왜 집에만 있으면 안 좋다는 거야?,1
집에만 있을 때 생길 수 있는 문제가 뭐야?,1
집에만 있는 게 왜 건강에 안 좋아?,1
집에만 있으면 뭐가 나빠지는 거야?,1
왜 집에만 있지 말고 나가라는 거야?,1
집에만 있는 생활이 왜 문제가 되는 거야?,1
집에만 있으면 왜 좋지 않은 결과가 생기는 거야?,1
규칙적인 생활을 하는 것이 왜 중요한가요?,1
왜 규칙적인 생활방식을 유지하는 것이 중요하다고 생각하나요?,1
규칙적인 생활의 중요성에 대해 설명해 주실 수 있나요?,1
규칙적인 생활을 권장하는 이유는 무엇인가요?,1
왜 많은 사람들이 규칙적인 생활을 강조하는 건가요?,1
규칙적인 생활이 개인의 삶에 미치는 영향은 무엇인가요?,1
규칙적인 생활을 유지함으로써 얻을 수 있는 이점은 무엇인가요?,1
규칙적인 생활 방식이 왜 건강에 좋은가요?,1
규칙적인 생활이 중요한 이유는 구체적으로 무엇인가요?,1
규칙적인 생활을 하는 것의 중요성을 어떻게 이해해야 하나요?,1
왜 규칙적인 생활이 건강을 위해 필수적인가요?,1
규칙적인 생활을 통해 달성할 수 있는 목표는 무엇인가요?,1
규칙적인 생활을 강조하는 주된 이유는 무엇인가요?,1
규칙적인 생활이 주는 장점은 구체적으로 어떤 것들이 있나요?,1
규칙적인 생활 방식을 유지하는 것이 왜 추천되나요?,1
규칙적인 생활이 인간의 정신 건강에 미치는 영향은 무엇인가요?,1
규칙적인 생활을 하는 이유는 무엇인가요?,1
왜 규칙적인 생활 방식을 따르는 것이 좋은가요?,1
규칙적인 생활의 이점을 설명해 주실 수 있나요?,1
규칙적인 생활 방식이 왜 중요하다고 여겨지나요?,1
규칙적으로 사는 게 왜 중요한 거야?,1
왜 규칙적인 생활이 중요하다고 생각해?,1
규칙적인 생활 중요성이 뭐야?,1
규칙적으로 생활하는 이유가 뭐야?,1
왜 사람들이 규칙적인 생활을 강조해?,1
규칙적인 생활이 왜 좋은 거야?,1
규칙적으로 살면 어떤 좋은 점이 있어?,1
규칙적인 생활이 건강에 왜 좋다고 하는 거야?,1
규칙적인 생활 중요한 이유가 구체적으로 뭐야?,1
규칙적인 생활 왜 중요하다고 생각해?,1
왜 규칙적으로 살아야만 해?,1
규칙적인 생활로 얻을 수 있는 게 뭐야?,1
규칙적으로 사는 게 왜 좋은 건데?,1
규칙적인 생활이 주는 장점이 뭐야?,1
왜 규칙적인 생활 방식을 추천해?,1
규칙적으로 사는 게 정신 건강에 어떻게 좋아?,1
규칙적인 생활하는 거 왜 중요해?,1
규칙적으로 살아야 하는 이유가 뭐야?,1
규칙적인 생활의 이점이 뭐야?,1
규칙적인 생활 방식 왜 중요하게 여겨지는 거야?,1
제가 핸드폰을 과도하게 사용하고 있나요?,2
핸드폰을 너무 많이 보는 편인가요?,2
저는 핸드폰을 지나치게 많이 사용하는 것일까요?,2
핸드폰을 많이 보는 것 같습니까?,2
제가 핸드폰 화면을 자주 들여다보나요?,2
핸드폰을 과하게 사용하는 경향이 있나요?,2
핸드폰 사용이 많은 편으로 보이나요?,2
제가 핸드폰을 자주 사용하는 것으로 보입니까?,2
핸드폰을 많이 사용하는 것에 대해 어떻게 생각하시나요?,2
저의 핸드폰 사용량이 과도하다고 느끼시나요?,2
핸드폰을 많이 보는 것이 문제가 될 수 있나요?,2
저는 핸드폰에 지나치게 의존하는 것 같나요?,2
핸드폰 사용이 많아 걱정되시나요?,2
핸드폰을 오래 보는 것에 대한 의견을 듣고 싶습니다.,2
제가 핸드폰을 너무 오래 사용하는 것 같지 않나요?,2
핸드폰 사용 시간이 많은 것 같습니까?,2
핸드폰을 많이 사용하는 것이 건강에 해롭다고 생각하시나요?,2
핸드폰을 자주 보는 습관이 걱정되시나요?,2
제가 핸드폰을 너무 자주 사용하고 있지는 않습니까?,2
핸드폰 사용량을 줄여야 한다고 보시나요?,2
나 핸드폰 너무 많이 보나?,2
핸드폰 많이 보는 거 같아?,2
나 핸드폰 너무 자주 보는 편이야?,2
핸드폰을 좀 많이 보는 거 아냐?,2
나 핸드폰 화면 자주 보지?,2
핸드폰 너무 많이 사용하는 거 아닌가?,2
내가 핸드폰을 너무 많이 보는 것 같지 않아?,2
핸드폰 자주 보는 거 문제 될까?,2
